,wall_stone_edge_bottom,wall_stone_edge_bottom,wall_stone_edge_bottom,wall_stone_edge_bottom,wall_stone_edge_bottom,wall_stone_edge_bottom,wall_stone_edge_bottom,wall_stone_edge_bottom,wall_stone_edge_bottom,wall_stone_edge_bottom,wall_stone_edge_bottom,
wall_stone_edge_right,wall_stone,wall_stone,wall_stone,wall_stone,wall_stone,wall_stone,wall_stone,wall_stone,wall_stone,wall_stone,wall_stone,wall_stone_edge_left
wall_stone_edge_right,wall_stone,wall_stone,wall_stone,wall_stone,wall_stone,wall_stone,wall_stone,wall_stone,wall_stone,wall_stone,wall_stone,wall_stone_edge_left
wall_stone_edge_right,floor_stone_shaded,floor_stone_shaded,floor_stone_shaded,floor_stone_shaded,floor_stone_shaded,floor_stone_shaded,floor_stone_shaded,floor_stone_shaded,floor_stone_shaded,floor_stone_shaded,floor_stone_shaded,wall_stone_edge_left
wall_stone_edge_right,floor_stone_shaded,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,wall_stone_edge_left
wall_stone_edge_right,floor_stone_shaded,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,wall_stone_edge_left
wall_stone_edge_right,floor_stone_shaded,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,wall_stone_edge_left
wall_stone_edge_right,floor_stone_shaded,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,wall_stone_edge_left
wall_stone_edge_right,floor_stone_shaded,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,wall_stone_edge_left
wall_stone_edge_right,floor_stone_shaded,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,wall_stone_edge_left
wall_stone_edge_right,floor_stone_shaded,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,wall_stone_edge_left
wall_stone_edge_right,floor_stone_shaded,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,floor_stone,wall_stone_edge_left
